Team,Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Al Jefferson\jeffeal01,32,57,1,832,9.2,18.2,0.506,0,0,0,9.2,18.2,0.507,2.6,3.4,0.772,2.9,7.6,10.5,2.3,0.7,0.6,1.2,4.8,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Aaron Brooks\brookaa01,32,46,0,660,5,12.3,0.407,1.9,5.5,0.337,3.2,6.8,0.464,1.3,1.6,0.793,0.8,2.1,2.8,5.5,1.2,0.4,2.7,3.5,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Lavoy Allen\allenla01,27,42,5,588,2.9,6.6,0.439,0,0.1,0,2.9,6.5,0.443,0.8,1.2,0.65,3.1,4.2,7.3,2.4,0.8,0.8,1.1,3.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Rodney Stuckey\stuckro01,30,25,0,465,5.6,12.8,0.436,0.9,2.9,0.324,4.6,9.9,0.469,4.7,6.2,0.763,0.3,3.9,4.3,3.8,0.8,0,2.6,2.7,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Kevin Seraphin\serapke01,27,34,3,416,6.5,11.8,0.551,0,0.1,0,6.5,11.7,0.556,0.4,0.9,0.5,2.7,6.7,9.3,1.6,0.3,1.3,1.6,4,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Joe Young\youngjo01,24,25,0,121,7.1,19.6,0.364,1.5,6.8,0.217,5.7,12.8,0.442,2.7,3.9,0.692,0.3,3.9,4.2,4.2,1.2,0,1.2,1.5,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Georges Niang\niangge01,23,22,0,90,3.6,14.4,0.25,0.4,4.8,0.083,3.2,9.6,0.333,0.8,0.8,1,0.8,5.6,6.4,2,1.2,0,2,2.4,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,Rakeem Christmas\chrisra01,25,7,0,23,3.1,11,0.286,0,0,,3.1,11,0.286,6.3,7.8,0.8,6.3,7.8,14.1,1.6,1.6,3.1,0,3.1,12.5Rk,,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Detroit Pistons,Marcus Morris\morrima03,27,56,56,1849,5.9,13.9,0.425,1.7,5.1,0.333,4.2,8.8,0.478,1.9,2.4,0.8,1,4.1,5.1,2.3,0.8,0.3,1.2,2.2,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Tobias Harris\harrito02,24,57,38,1803,7.2,14.9,0.487,1.5,4.3,0.338,5.8,10.5,0.547,2.6,2.9,0.891,0.6,5.2,5.8,1.8,0.8,0.5,1.5,1.8,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Kentavious Caldwell-Pope\caldwke01,23,52,52,1759,5.4,13.1,0.409,2.2,5.9,0.372,3.2,7.2,0.44,2.1,2.6,0.833,0.8,2.7,3.6,3,1.4,0.2,1.3,1.8,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Andre Drummond\drumman01,23,56,56,1705,7.5,14.2,0.527,0,0.1,0.333,7.5,14.1,0.529,2.3,5.2,0.439,4.8,11.5,16.3,1.2,2,1.4,2.5,3.5,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Jon Leuer\leuerjo01,27,51,20,1379,5.9,11.6,0.512,1,3.2,0.325,4.9,8.4,0.584,2,2.2,0.906,1.8,5.8,7.6,2.3,0.6,0.5,1.2,2.8,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Ish Smith\smithis01,28,56,21,1317,5.6,12.5,0.445,0.5,1.8,0.254,5.1,10.7,0.478,1.3,1.8,0.687,0.4,3.7,4.1,7.4,1.1,0.6,2.2,2.4,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Reggie Jackson\jacksre01,26,36,36,1023,7.2,16.8,0.428,1.7,4.8,0.363,5.5,12,0.453,3.2,3.8,0.85,0.5,2.3,2.8,7,1,0.1,3,3.4,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Stanley Johnson\johnsst04,20,53,0,887,3.4,8.8,0.39,1.1,3.5,0.302,2.4,5.4,0.447,1.1,1.6,0.65,1,3.9,4.9,2.8,1.4,0.8,1.9,3.4,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Aron Baynes\baynear01,30,54,2,835,4,8.2,0.482,0,0,,4,8.2,0.482,2.6,3,0.871,2.9,6.5,9.4,0.8,0.6,1,1.6,5.2,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Beno Udrih\udrihbe01,34,30,0,420,5.8,12.9,0.453,0.9,2.4,0.357,5,10.5,0.475,2.1,2.2,0.923,0.4,2.8,3.3,7.8,0.6,0,2.1,1.7,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Darrun Hilliard\hillida01,23,27,1,290,3.8,11.9,0.323,1.1,4.5,0.25,2.7,7.4,0.367,2.1,3,0.708,0.2,3.1,3.4,2.9,0.9,0.1,2.5,3.8,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Reggie Bullock\bullore01,25,14,3,217,4.6,10.8,0.431,1.7,5.3,0.313,3,5.5,0.545,0.3,0.7,0.5,1,3.6,4.6,2,1,0.5,1,2.5,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,Boban Marjanovic\marjabo01,28,23,0,159,7.2,15.4,0.471,0,0,,7.2,15.4,0.471,4.8,6.1,0.778,6.8,10.2,17,1.1,0.5,1.8,1.6,2.5,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,
